candidate,conns,rps,p50_ms,p99_ms,p999_ms,success,errors,proxy_cpu_pct,peak_rss_mb,origin_cpu_pct,load_cpu_pct,bottleneck
hyper-epoll-ws,16,39981.7,0.377,0.881,1.778,799949,16,194.0,10.9,92.7,141,proxy
hyper-epoll-ws,64,43764.3,1.421,2.663,3.631,875415,63,197.6,13.9,99.5,150,proxy
hyper-epoll-ws,256,38195.9,6.551,12.129,14.227,764034,255,199.8,27.1,97.6,139,proxy
hyper-epoll-ws,1000,32851.2,13.789,113.035,131.74,656487,993,199.9,69.3,93.9,129,proxy
native-uring,16,72337.2,0.207,0.443,1.026,1447332,13,190.1,267.4,131.2,205,proxy
native-uring,64,96465.2,0.65,1.098,1.867,1929657,58,199.6,267.4,154.2,219,proxy
native-uring,256,107355.7,2.329,3.884,4.997,2148312,253,199.8,267.6,156.8,214,proxy
native-uring,1000,95966.9,10.286,16.187,18.588,1919641,939,199.8,268.4,142.1,184,proxy
uring-tpc-batched,16,44514.7,0.339,0.652,1.17,890538,15,193.3,10.0,95.6,141,proxy
uring-tpc-batched,64,60232.5,1.03,1.769,2.651,1205025,63,199.6,15.1,106.3,162,proxy
uring-tpc-batched,256,50597.5,4.838,9.156,10.447,1012055,256,199.8,36.5,100.2,150,proxy
uring-tpc-batched,1000,38659.7,25.535,34.861,43.231,772701,989,200.0,115.7,90.1,128,proxy
uring-ws-batched,16,29927.3,0.498,1.213,2.196,598710,16,158.6,11.1,70.3,110,proxy
uring-ws-batched,64,37099.5,1.585,4.011,5.547,742068,64,162.0,15.8,67.5,112,proxy
uring-ws-batched,256,27850.0,8.914,18.446,23.085,556981,254,170.8,34.1,62.5,97,proxy
uring-ws-batched,1000,26572.1,19.478,123.838,144.665,530810,990,174.4,116.6,58.8,92,proxy
