candidate,conns,rps,p50_ms,p99_ms,p999_ms,success,errors,proxy_cpu_pct,peak_rss_mb,origin_cpu_pct,load_cpu_pct,bottleneck
hyper-epoll-ws,16,32251.1,0.494,0.78,1.523,645181,16,99.8,9.7,51.4,83,proxy
hyper-epoll-ws,64,32611.1,1.929,2.848,3.97,652382,63,99.9,12.8,51.7,84,proxy
hyper-epoll-ws,256,30727.3,8.233,11.519,13.4,614656,254,99.9,24.5,51.3,83,proxy
hyper-epoll-ws,1000,27039.3,8.153,182.445,315.257,540411,966,100.0,65.0,50.1,81,proxy
uring-tpc-batched,16,31524.4,0.49,0.813,1.408,630672,16,99.8,8.5,56.7,84,proxy
uring-tpc-batched,64,33085.7,1.921,2.898,4.234,661875,63,99.8,14.4,57.1,89,proxy
uring-tpc-batched,256,28389.8,8.855,12.356,14.407,567821,250,100.0,35.6,54.3,85,proxy
uring-tpc-batched,1000,22997.6,43.379,51.77,61.881,459441,976,100.1,113.2,51.1,73,proxy
uring-ws-batched,16,30890.6,0.505,0.812,1.488,617942,16,99.8,8.7,54.6,87,proxy
uring-ws-batched,64,35047.8,1.794,2.884,4.165,701084,63,99.9,13.7,58.0,91,proxy
uring-ws-batched,256,29496.4,7.262,28.166,42.015,590043,254,99.9,35.9,54.6,89,proxy
uring-ws-batched,1000,28888.7,7.363,174.219,312.915,577504,984,100.1,112.3,54.4,89,proxy
uring-tpc-persubmit,16,23289.3,0.669,1.017,1.711,465839,16,99.8,8.5,52.0,79,proxy
uring-tpc-persubmit,64,23031.9,2.733,4.016,5.167,460656,64,99.8,13.7,51.6,80,proxy
uring-tpc-persubmit,256,20221.2,12.537,16.99,19.457,404386,255,99.9,35.8,50.1,76,proxy
uring-tpc-persubmit,1000,16300.3,61.415,74.134,99.094,325468,976,100.1,115.0,43.8,66,proxy
uring-ws-persubmit,16,22836.4,0.706,1.535,2.229,456777,16,99.8,8.8,51.0,78,proxy
uring-ws-persubmit,64,22159.6,3.025,6.511,8.224,443209,64,99.9,14.0,50.9,79,proxy
uring-ws-persubmit,256,20015.5,11.465,42.074,57.034,400217,255,100.0,34.2,49.6,78,proxy
uring-ws-persubmit,1000,18635.3,13.235,307.177,419.871,372047,993,100.1,111.5,49.5,76,proxy
