candidate,conns,rps,p50_ms,p99_ms,p999_ms,success,errors,proxy_cpu_pct,peak_rss_mb,origin_cpu_pct,load_cpu_pct,bottleneck
hyper-epoll-ws,8,48224.7,0.158,0.316,0.58,964581,8,184.8,10.3,63.7,80,proxy
hyper-epoll-ws,64,56766.4,1.108,1.928,3.833,1135430,64,195.8,14.0,70.2,84,proxy
hyper-epoll-ws,256,57012.1,4.456,7.801,10.004,1140295,253,199.3,26.9,71.4,89,proxy
hyper-epoll-ws,1000,52329.7,8.643,76.809,98.784,1046762,886,199.4,76.1,72.2,91,proxy
uring-ws-sharedring,8,18790.3,0.391,1.043,1.573,375844,8,145.2,8.7,46.7,51,unsaturated
uring-ws-sharedring,64,18294.6,3.25,9.971,12.907,365877,64,146.2,14.7,45.0,50,unsaturated
uring-ws-sharedring,256,17274.7,14.24,41.123,52.937,345387,255,145.8,35.6,45.8,52,unsaturated
uring-ws-sharedring,1000,15431.9,57.661,194.485,260.724,308155,960,147.9,110.9,44.0,50,unsaturated
uring-ws-perworkerring,8,23336.3,0.315,0.798,1.355,466802,8,158.8,9.4,51.3,56,proxy
uring-ws-perworkerring,64,22370.5,2.672,8.091,10.581,447419,64,159.4,15.2,50.5,55,proxy
uring-ws-perworkerring,256,21979.9,11.128,34.554,45.924,439537,254,159.9,35.3,51.2,57,proxy
uring-ws-perworkerring,1000,19240.4,46.086,165.544,210.051,384298,951,160.9,111.2,48.9,55,proxy
uring-tpc-sharenothing,8,41440.8,0.186,0.367,0.632,828882,8,182.3,8.2,66.2,79,proxy
uring-tpc-sharenothing,64,48681.9,1.287,1.976,3.229,973740,63,199.4,14.0,75.5,88,proxy
uring-tpc-sharenothing,256,48089.7,5.214,8.585,11.867,961824,256,199.2,33.5,76.3,85,proxy
uring-tpc-sharenothing,1000,38408.0,25.803,32.701,46.532,768032,930,199.9,114.3,71.6,84,proxy
uring-tpc-balanced,8,42893.0,0.178,0.356,0.697,858039,8,185.6,8.2,67.8,81,proxy
uring-tpc-balanced,64,49337.5,1.287,2.179,3.759,986775,64,198.9,14.1,74.8,87,proxy
uring-tpc-balanced,256,46958.8,5.319,8.956,12.269,939283,238,199.0,34.8,73.5,88,proxy
uring-tpc-balanced,1000,38404.3,25.681,37.892,53.601,768046,925,199.6,115.8,70.8,83,proxy
