candidate,conns,rps,p50_ms,p99_ms,p999_ms,success,errors,proxy_cpu_pct,peak_rss_mb,origin_cpu_pct,load_cpu_pct,bottleneck
hyper-epoll-ws,64,52647.0,1.201,1.963,3.794,1052966,64,195.9,14.1,67.1,83,proxy
hyper-epoll-ws,256,54979.3,4.657,7.874,10.817,1099684,252,199.2,27.9,70.4,88,proxy
uring-ws-sharedring,64,18329.1,3.264,9.906,12.879,366601,64,145.7,15.3,45.2,51,unsaturated
uring-ws-sharedring,256,17527.1,13.979,41.042,53.805,350382,255,145.8,35.9,46.3,53,unsaturated
uring-ws-perworkerring,64,24206.0,2.47,7.513,9.812,484140,64,160.0,14.8,53.2,58,proxy
uring-ws-perworkerring,256,21126.7,11.494,36.438,46.085,422421,255,159.3,35.0,51.2,57,proxy
uring-tpc-sharenothing,64,49278.9,1.271,1.954,4.073,985603,64,199.0,14.2,75.8,87,proxy
uring-tpc-sharenothing,256,45548.0,5.46,8.335,11.984,911011,255,199.5,34.0,73.9,88,proxy
uring-tpc-balanced,64,49696.3,1.261,2.064,3.913,994001,64,198.6,14.1,76.9,88,proxy
uring-tpc-balanced,256,45910.3,3.249,12.514,15.245,918176,253,197.5,37.0,74.0,89,proxy
uring-ws-perworkerring-sqpoll,64,35524.7,1.844,3.836,5.477,710533,64,202.7,15.7,53.0,61,proxy
uring-ws-perworkerring-sqpoll,256,52110.2,4.751,11.168,14.211,1042199,252,204.5,40.4,68.8,74,proxy
uring-tpc-balanced-sqpoll,64,31574.0,2.0,2.942,4.561,631503,64,202.4,14.3,49.8,52,proxy
uring-tpc-balanced-sqpoll,256,58283.2,4.076,8.084,10.282,1165823,255,204.8,38.7,71.4,76,proxy
